finding,axis,label_disparity,prediction_disparity,amplification,biasamp_directional
Airspace opacity,sex,0.04257215112934565,0.01019504412099892,-0.03237710700834673,-0.01627960329280187
Airspace opacity,elderly_women,0.008230197080302037,0.0319801746518763,0.023749977571574266,0.003098634025797131
Pneumothorax,sex,0.013280800581767657,0.09112478699271709,0.07784398641094943,-0.01073342249812842
Pneumothorax,elderly_women,0.04939912522238647,0.0789114829399043,0.029512357717517826,-0.05566490860608507
Nodule or mass,sex,0.0018288778179371135,0.02498019167941995,0.023151313861482836,-0.02414145072602153
Nodule or mass,elderly_women,0.035992447486429074,0.02281143421846249,-0.013181013267966585,-0.013684106549010533
