backbone,finding,axis,regime_diff_tpr,diff_lo,diff_hi,p
xrv_densenet121,Airspace opacity,sex,-0.010488293284582006,-0.050286816122872086,0.025487596800877116,0.6512
xrv_densenet121,Airspace opacity,elderly_women,-0.03908681887237453,-0.11376550024955147,0.05675861483020437,0.5104
xrv_densenet121,Pneumothorax,sex,0.002463636525269819,-0.11127635509296677,0.1249080648478707,0.9456
xrv_densenet121,Pneumothorax,elderly_women,0.12026790914385554,-0.04747210747960486,0.23949537062895546,0.1456
xrv_densenet121,Nodule or mass,sex,-0.0456836453398719,-0.1185791070314749,0.04695267132037823,0.4832
xrv_densenet121,Nodule or mass,elderly_women,0.049219203081346585,-0.12793450907441659,0.2056269651325167,0.6184
resnet50_imagenet,Airspace opacity,sex,0.017529939998305544,-0.0346233714869059,0.05734007579176433,0.5944
resnet50_imagenet,Airspace opacity,elderly_women,-0.01712051271154924,-0.09528588924244139,0.045768333613551315,0.6968
resnet50_imagenet,Pneumothorax,sex,0.022969914770706812,-0.10561784131375297,0.1496174644527396,0.7112
resnet50_imagenet,Pneumothorax,elderly_women,0.06513298388662397,-0.12107706093989487,0.22896424475526014,0.5448
resnet50_imagenet,Nodule or mass,sex,0.03773857194130309,-0.053221365275784825,0.114406698210349,0.42
resnet50_imagenet,Nodule or mass,elderly_women,0.12235237270574423,-0.10096145306997192,0.248696704051741,0.3904
clip_vitb32,Airspace opacity,sex,-0.02252349801821052,-0.05858937769634818,0.018309489228139082,0.3792
clip_vitb32,Airspace opacity,elderly_women,-0.011333464361979129,-0.08159347856798922,0.03941662235909888,0.636
clip_vitb32,Pneumothorax,sex,0.018386920867518808,-0.09354795195731348,0.1037874954896146,0.9288
clip_vitb32,Pneumothorax,elderly_women,0.013298388662395633,-0.14814275393578094,0.16637772854395855,0.8784
clip_vitb32,Nodule or mass,sex,0.001830328559046579,-0.08137115194058085,0.08664700776459776,0.9552
clip_vitb32,Nodule or mass,elderly_women,-0.058196298987851336,-0.22472694605063376,0.15292418202174676,0.7176
