finding,axis,gap_global,gap_clean_remedy,gap_noisy_remedy,remedy_overall_tpr,remedy_balanced_acc,n_rep_used,underpowered
Airspace opacity,sex,0.0290481329939684,0.05236909685328271,0.040659637184143255,0.7744028843704892,0.745706208959963,25,False
Airspace opacity,elderly_women,0.03137981133651011,0.04124870419188765,0.11740490411104978,0.7729110109347611,0.7487929385836716,25,False
Pneumothorax,sex,0.19241720045082722,0.13149220919231808,0.12241828763250069,0.4839980894634933,0.6498359219544709,25,False
Pneumothorax,elderly_women,,,,,,0,True
Nodule or mass,sex,0.059654814492967764,0.1109648048136875,0.0885670981426418,0.554285949159702,0.633076666611274,25,False
Nodule or mass,elderly_women,,,,,,0,True
