finding,n_missed,n_kept,score_missed,score_kept,rank_biserial,p_value,p_adj
Airspace opacity,1280,886,0.625413715839386,0.6998184323310852,0.2016921043395996,6.653644971007502e-16,1.9960934913022506e-15
Pneumothorax,129,109,0.42952874302864075,0.5456041693687439,0.16535091400146484,0.014053692109882832,0.014053692109882832
Nodule or mass,349,256,0.506400465965271,0.624057412147522,0.2400609254837036,2.2270283750458475e-07,3.340542562568771e-07
