axis,nlp_regime_gap,clean_auroc_gap,clean_tpr_gap,adj_prevalence_gap
sex,0.0,0.039849870790390374,0.04732476825500087,0.030405681779961224
age_band,0.0,0.08739651133734905,0.2477272727272728,0.06132404181184669
elderly_women,0.0,0.07459872466039791,0.037921348314606695,0.022173083623392886
