finding,axis,metric,gap_nlp,nlp_lo,nlp_hi,gap_clean,clean_lo,clean_hi,regime_diff,diff_lo,diff_hi,p_two,p_bh,phantom_signature
Airspace opacity,sex,tpr,0.02022057655023357,0.0010978246879838698,0.0701604312358852,0.009732283265651565,0.000646797099027538,0.04432524359436664,-0.010488293284582006,-0.05120023388185338,0.024578733700561524,0.6556,0.9833999999999999,False
Airspace opacity,sex,auroc,0.0013394123701275795,0.000594352063435244,0.04018121214997103,0.030048629184654896,0.005881168002148998,0.05533477739665349,0.028709216814527316,-0.01944402502294878,0.047147557402447145,0.3304,0.9833999999999999,False
Airspace opacity,age_band,tpr,0.033702756464904726,0.009204783968119728,0.09928151421596584,0.07419303577458625,0.03346206462745259,0.11879430467760685,0.04049027930968152,-0.04293044650523491,0.09011779272213997,0.4292,0.9833999999999999,False
Airspace opacity,age_band,auroc,0.025474834189131434,0.006439399805986796,0.07189492799587827,0.03946891040224487,0.012668010569205902,0.0732705590038163,0.013994076213113438,-0.04287425200232007,0.05280024501866127,0.7496,0.9924,False
Airspace opacity,view,tpr,0.23615148896047777,0.16007919559789655,0.31050772770725854,0.23519959507750854,0.18289728736320987,0.2889865563145781,-0.0009518938829692347,-0.07757979012583849,0.07743600558573896,0.9924,0.9924,False
Airspace opacity,view,auroc,0.10728286662645958,0.05998927765980033,0.15382326966150156,0.1738148050056625,0.13772705689551717,0.20925590197113872,0.0665319383792029,0.013060821211730281,0.12242760692680904,0.018,0.43199999999999994,True
Airspace opacity,elderly_women,tpr,0.05348837209302326,0.003346142559689572,0.13347030805217816,0.014401553220648733,0.001115847195007344,0.07952714833523868,-0.03908681887237453,-0.11537834968990578,0.05863692502535325,0.5336,0.9833999999999999,False
Airspace opacity,elderly_women,auroc,0.061350447110989026,0.006759557829498493,0.11690660169274604,0.0006880224216908593,0.0008139129038796878,0.04957000883953309,-0.06066242468929817,-0.10408411077572488,0.019857767498404604,0.1836,0.9833999999999999,False
Pneumothorax,sex,tpr,0.12168409074745745,0.02388608446257542,0.22756933890577508,0.12414772727272727,0.021423088772283213,0.2290246212121212,0.002463636525269819,-0.10997510632558459,0.12154718552188117,0.9492,0.9924,False
Pneumothorax,sex,auroc,0.0382240147242211,0.0019732452690836046,0.10599663830205935,0.06782261668108125,0.00672192798368062,0.13594772482858092,0.02959860195686015,-0.0457382387993947,0.0969855331889251,0.4764,0.9833999999999999,False
Pneumothorax,age_band,tpr,0.06487167375216507,0.018305316058259958,0.2100501499314815,0.12857142857142867,0.03792452387653636,0.28095579078455785,0.0636997548192636,-0.08538420670122612,0.19128303173489042,0.4356,0.9833999999999999,False
Pneumothorax,age_band,auroc,0.028402158974764946,0.011477926426206628,0.12664305991472738,0.06491764484568607,0.01608364109006516,0.15429643409642863,0.03651548587092113,-0.061818029192321176,0.10463301295022316,0.6304,0.9833999999999999,False
Pneumothorax,view,tpr,0.19160104986876647,0.08712345102434779,0.3016801806054143,0.1729323308270676,0.06814463306386628,0.27494553376906317,-0.018668719041698867,-0.13583023938693387,0.09623490024524457,0.7704,0.9924,False
Pneumothorax,view,auroc,0.08588475387047112,0.019987187710865103,0.1556007576199963,0.09322447158648084,0.02637515490428894,0.16074852098915057,0.007339717716009719,-0.06708729905947404,0.08391096207745158,0.826,0.9924,False
Pneumothorax,elderly_women,tpr,0.06372549019607843,0.003913438065775693,0.200915691737659,0.18399339933993397,0.06983314576833138,0.2820547658862876,0.12026790914385554,-0.04371492535293856,0.23611744980956473,0.1692,0.9833999999999999,False
Pneumothorax,elderly_women,auroc,0.03395803263394015,0.0022238966293074065,0.12555880491571583,0.09186389617248902,0.015024563862600798,0.16832055009638588,0.057905863538548874,-0.05597612909828824,0.1361851271779699,0.384,0.9833999999999999,False
Nodule or mass,sex,tpr,0.06424242424242421,0.003611369730373901,0.15746599130829664,0.01855877890255231,0.0016735959651035554,0.10232965814567582,-0.0456836453398719,-0.11930402971210385,0.04496139774018655,0.4652,0.9833999999999999,False
Nodule or mass,sex,auroc,0.007436772019057791,0.001098856440212201,0.06376470720411553,0.009242765538920783,0.0008699590439354366,0.0583649131680754,0.0018059935198629917,-0.050513311548268075,0.04282207582119589,0.9696,0.9924,False
Nodule or mass,age_band,tpr,0.16656403940886705,0.0634312370170632,0.2860870273290708,0.1587830080367394,0.07534421073894755,0.2686640748596606,-0.007781031372127656,-0.11686395266766361,0.10459884607965202,0.9292,0.9924,False
Nodule or mass,age_band,auroc,0.05387138656585322,0.012240220597362995,0.12564125980737192,0.046688738200612256,0.014065671003460076,0.11193032955058432,-0.007182648365240962,-0.06975513373577147,0.05965405130616961,0.9104,0.9924,False
Nodule or mass,view,tpr,0.16209613522317112,0.06663154009643793,0.25819350441111794,0.19507361978578774,0.11056976143568018,0.2748884396745599,0.03297748456261662,-0.060512928921678186,0.12480532552239056,0.5052,0.9833999999999999,False
Nodule or mass,view,auroc,0.05653201728833657,0.005949128306202359,0.11068740569298738,0.08584397820739009,0.03751122244336521,0.1326890555203557,0.029311960919053526,-0.028539980676942855,0.08463868883575151,0.3424,0.9833999999999999,False
Nodule or mass,elderly_women,tpr,0.1202786155392791,0.007913275947988366,0.29438061224940854,0.16949781862062568,0.0230439017859133,0.3285456404784134,0.049219203081346585,-0.12738509120756508,0.20848661007250482,0.6376,0.9833999999999999,False
Nodule or mass,elderly_women,auroc,0.03366989814752808,0.0021965584325258055,0.1391429330439661,0.1529534924214433,0.046370953579799194,0.26600323611065585,0.11928359427391522,-0.0066525904994113325,0.2114445017759625,0.064,0.768,False
