finding,n,pos,AUROC_padchest,lo,hi
Airspace opacity,24,5,0.48947368421052634,0.24344428334611715,0.7355030850749356
Nodule or mass,24,1,0.6086956521739131,0.40475951583110514,0.812631788516721
