finding,elderly_cut,phantom_observed,phantom_classcond,phantom_instancedep,instancedep_dominates
Airspace opacity,55,0.013285540273621499,-0.015951593555635524,-0.011127522212345989,True
Pneumothorax,55,0.0749557922229327,0.042649227717137334,0.0846917457004922,True
Nodule or mass,55,-0.1304824561403508,-0.014064933230141394,-0.02318429409112198,False
Airspace opacity,60,-0.03908681887237453,-0.021182778035736004,-0.03971750832225056,False
Pneumothorax,60,0.12026790914385554,0.07213129693529768,0.12228872127065613,True
Nodule or mass,60,0.049219203081346585,0.05170555984958368,0.053995081017979854,True
Airspace opacity,65,-0.03529408022960068,-0.05006066697242619,-0.06049780730037138,False
Pneumothorax,65,0.025150150150150097,0.045660985716821326,0.05790449570246739,True
Nodule or mass,65,0.06115126647586777,0.0031354056531565644,-0.06140154246028784,False
