backbone,finding,n_missed,n_kept,score_missed,score_kept,rank_biserial,p_value,p_adj
xrv_densenet121,Airspace opacity,1280,886,0.625413715839386,0.6998184323310852,0.2016921043395996,6.653644971007502e-16,5.988280473906752e-15
xrv_densenet121,Pneumothorax,129,109,0.42952874302864075,0.5456041693687439,0.16535091400146484,0.014053692109882832,0.018069032712706497
xrv_densenet121,Nodule or mass,349,256,0.506400465965271,0.624057412147522,0.2400609254837036,2.2270283750458475e-07,5.010813843853157e-07
resnet50_imagenet,Airspace opacity,1280,886,0.5570040941238403,0.632553219795227,0.16020655632019043,1.0912955955566517e-10,3.273886786669955e-10
resnet50_imagenet,Pneumothorax,129,109,0.21818293631076813,0.287365198135376,0.16037261486053467,0.01659972406923771,0.018674689577892423
resnet50_imagenet,Nodule or mass,349,256,0.356835275888443,0.4532260298728943,0.1678009033203125,0.0002087550819851458,0.00037575914757326245
clip_vitb32,Airspace opacity,1280,886,0.6259441375732422,0.683417797088623,0.17183005809783936,4.931935502355822e-12,2.21937097606012e-11
clip_vitb32,Pneumothorax,129,109,0.5688809752464294,0.6408663392066956,0.1333475112915039,0.03831271082162857,0.03831271082162857
clip_vitb32,Nodule or mass,349,256,0.48129013180732727,0.5405942797660828,0.15152668952941895,0.0007200248655863106,0.001080037298379466
